,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
78,"1291, Cheonho-daero, Gangdong-gu, Seoul",,1,A01,A0101,A01010500,1930548,76,20140702025849,http://tong.visitkorea.or.kr/cms/resource/82/1567782_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1567782_image3_1.jpg,Type3,127.1568388307,37.5413187204,6,20211023015908,2,+82-2-489-2770,Gildong Ecological Park (길동생태공원),05291
79,"68, Seonjam-ro 5-gil, Seongbuk-gu, Seoul",,1,A02,A0201,A02010800,1748008,76,20121106012836,http://tong.visitkorea.or.kr/cms/resource/96/1927896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1927896_image3_1.jpg,Type3,126.9946241836,37.5990951960,6,20240312153552,17,+82-2-3672-5945,Gilsangsa Temple (Seoul) (길상사(서울)),02839
80,"Area of 396beon-ji, Godeok-dong, Gangdong-gu, Seoul",,1,A01,A0101,A01010500,1751260,76,20121113204002,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image3_1.jpg,Type3,127.1493110052,37.5670267098,6,20210610223452,2,+82-3780-0848,Godeok-dong Ecological Landscape Conservation Area (고덕동 생태경관 보전지역),"134-080,1"
81,"Seongsu-dong, Gwanak-gu, Seoul",,1,A01,A0101,A01010500,1751255,76,20121113203654,http://tong.visitkorea.or.kr/cms/resource/14/755414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/755414_image3_1.jpg,Type3,126.9260354605,37.4208230076,6,20210603222528,5,+82-2-879-6563,Gwanaksan Ecological Park (관악산 생태공원),08839
82,"Gwanak-ro, Gwanak-gu, Seoul",,1,A01,A0101,A01010400,1562674,76,20120307004254,http://tong.visitkorea.or.kr/cms/resource/30/1857230_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1857230_image3_1.jpg,Type3,126.9540987991,37.4484036407,6,20230102155815,5,+82-2-879-6521,Gwanaksan Mountain (관악산),08826
83,"77, Nakseongdae-ro, Gwanak-gu, Seoul",,1,A02,A0201,A02010700,1748002,76,20121106012545,http://tong.visitkorea.or.kr/cms/resource/06/928406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/928406_image3_1.jpg,Type3,126.9602475997,37.4711316683,6,20210716223038,5,+82-2-879-6525,Gwanaksan Mountain Nakseongdae Park (관악산 낙성대공원),08799
84,"344, Toegye-ro, Jung-gu, Seoul",,1,A02,A0201,A02010300,1748354,76,20121106202531,http://tong.visitkorea.or.kr/cms/resource/02/1568502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1568502_image3_1.jpg,Type3,127.0096987947,37.5643772800,6,20210224224137,24,+82-2-3700-3900,Gwanghuimun Gate (광희문),04614
85,"161, Sajik-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010300,264329,76,20030109181214,,,,126.9768042386,37.5760725520,6,20221214145540,23,+82-2-3700-3900,Gwanghwamun Gate (광화문),03045
86,"172, Sejong-daero, Jongno-gu, Seoul",,1,A02,A0202,A02020700,929909,76,20100120182102,,,,126.9769709861,37.5727035021,6,20231123102257,23,+82-2-120,Gwanghwamun Plaza (광화문 광장),03154
87,"77, Gucheonmyeon-ro, Gangdong-gu, Seoul",,1,A02,A0205,A02050600,1392370,76,20110927235256,http://tong.visitkorea.or.kr/cms/resource/51/1985151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1985151_image3_1.jpg,Type3,127.1141592915,37.5444759163,6,20200701003826,2,+82-2-476-0722,Gwangjingyo 8th Avenue (광진교 8번가),05250
88,"83-66, Seonsa-ro, Gangdong-gu, Seoul",,1,A02,A0202,A02020700,1824742,76,20130702020508,http://tong.visitkorea.or.kr/cms/resource/01/1567801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1567801_image3_1.jpg,Type3,127.1222583979,37.5499698690,6,20211225001747,2,+82-2-3780-0501,Gwangnaru Hangang Park (광나루한강공원),05249
89,"161, Sajik-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010100,264337,76,20110226022850,http://tong.visitkorea.or.kr/cms/resource/39/2932639_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/39/2932639_image3_1.bmp,Type1,126.9769930325,37.5788222356,6,20240619162008,23,+82-2-3700-3900,Gyeongbokgung Palace (경복궁),03045
90,"45 Saemunan-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010100,264308,76,20030109040004,,,,126.9685079323,37.5704425020,6,20240709105415,23,+82-2-724-0274,Gyeonghuigung Palace (경희궁),03177
91,"Itaewon-dong, Yongsan-gu, Seoul",,1,A02,A0203,A02030400,2944158,76,20221207143240,,,,126.9875154390,37.5384521160,6,20230118161318,21,,Gyeongnidan Street (경리단길),04343
92,"28, Toegye-ro 34-gil, Jung-gu, Seoul",,1,A02,A0201,A02010400,1908468,76,20140327015407,http://tong.visitkorea.or.kr/cms/resource/66/1569166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1569166_image3_1.jpg,Type3,126.9944031366,37.5583638148,6,20211110232855,24,+82-2-3396-5882,Haepungbuwongun Yun Taekyeong's Jaesil (해풍부원군윤택영댁재실),04626
93,"407, Apgujeong-ro, Gangnam-gu, Seoul",<br>(Streets of the area),1,A02,A0204,A02040800,1998305,76,20150418024813,http://tong.visitkorea.or.kr/cms/resource/03/2386103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2386103_image3_1.jpg,Type3,127.0418219032,37.5279015387,,20171020232325,1,,Hallyu K-Star Road (한류스타거리 K-STAR ROAD)),06009
94,"17, Bukchon-ro 5ga-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030200,2593860,76,20190328222122,http://tong.visitkorea.or.kr/cms/resource/47/2388347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2388347_image3_1.jpg,Type3,126.9818592137,37.5803082620,6,20210127013510,23,+82-10-6485-8507,Hanboknam (한복남),03053
95,"95 Haneulgongwon-ro, Mapo-gu, Seoul",,1,A02,A0202,A02020700,2944084,76,20221207141112,,,,126.8863599027,37.5691522918,6,20231019103334,13,,Haneul Park (하늘공원),03900
96,"257, Gangbyeonbuk-ro, Seongdong-gu, Seoul",,1,A01,A0101,A01011800,1887247,76,20140120191419,http://tong.visitkorea.or.kr/cms/resource/87/629687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/629687_image3_1.jpg,Type3,127.0416216085,37.5389280323,6,20240312143352,16,+82-2-120,Hangang River (한강),04770
97,"415 Seogyo-dong, Mapo-gu, Seoul",,1,A02,A0203,A02030400,2482058,76,20170222183320,http://tong.visitkorea.or.kr/cms/resource/02/3109602_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/3109602_image3_1.JPG,Type3,127.1099610007,37.0023302730,6,20240319144041,13,,Hapjeong-dong Café Street (합정동 카페거리),
98,"20-10 Nonhyeon-dong, Gangnam-gu, Seoul",,1,A02,A0203,A02030400,2989577,76,20230526131045,,,,127.0214936080,37.5134306323,6,20230622153427,1,+82-70-7504-1415,Hema Studio (헤마스튜디오),06043
99,"36-10, Heonilleung-gil, Seocho-gu, Seoul",,1,A02,A0201,A02010700,264115,76,20021227005905,http://tong.visitkorea.or.kr/cms/resource/42/1985242_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1985242_image3_1.jpg,Type3,127.0837087516,37.4653567754,6,20210724001220,15,+82-2-445-0347,"Heolleung and Illeung Royal Tombs [UNESCO World Heritage] (서울 헌릉(태종,원경왕후)과 인릉(순조,순원왕후) [유네스코 세계문화유산])",06795
100,"34, Heonilleung-gil, Seocho-gu, Seoul",,1,A01,A0101,A01010500,1751262,76,20121113204105,http://tong.visitkorea.or.kr/cms/resource/06/1860206_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1860206_image3_1.jpg,Type3,127.0819811618,37.4642652042,6,20211211025434,15,+82-2-445-0347,Heoninneung Royal Tombs Ecological Preservation Area (Alder Tree Forests) (헌인릉 생태경관보전지역(오리나무림)),06795
101,"288, Jong-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010300,264315,76,20030109040219,http://tong.visitkorea.or.kr/cms/resource/36/1568436_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1568436_image3_1.jpg,Type3,127.0095263952,37.5711931512,6,20230323135028,23,+82-2-2148-1842,Heunginjimun Gate - Dongdaemun Gate (흥인지문),03119
102,"20, Hongik-ro, Mapo-gu, Seoul",,1,A02,A0203,A02030400,1326972,76,20110708001349,,,,126.9227542239,37.5543713280,6,20240516175546,13,,Hongdae (Hongik University Street) (홍대),04055
103,"57, Hoegi-ro, Dongdaemun-gu, Seoul",,1,A01,A0101,A01010700,264314,76,20030109040154,http://tong.visitkorea.or.kr/cms/resource/80/746580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/746580_image3_1.jpg,Type3,127.0406812854,37.5924523515,6,20200523005004,11,+82-2-961-2522,Hongneung Arboretum (홍릉수목원),02455
104,"15-32, Sajik-ro 9-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010100,1909497,76,20140331191845,http://tong.visitkorea.or.kr/cms/resource/25/1568125_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1568125_image3_1.jpg,Type3,126.9640359154,37.5776027007,6,20200402013046,23,+82-2-738-5785,Hwanghakjeong Pavilion (황학정),03027
105,"112, Sogong-ro, Jung-gu, Seoul",,1,A02,A0201,A02010900,1748365,76,20121106203903,http://tong.visitkorea.or.kr/cms/resource/66/1946566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1946566_image3_1.jpg,Type3,126.9794848592,37.5651627568,6,20200507014128,24,+82-2-3396-5842,Hwangudan Altar (환구단),04533
106,"Gongneung-dong, Nowon-gu, Seoul",(공릉동),1,A02,A0202,A02020700,2656744,76,20200521015641,,,,127.0928645166,37.6241440529,6,20230811141839,9,,Hwarangdae Railroad Park (화랑대 철도공원),01802
107,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A01,A0101,A01010500,1751266,76,20121113204312,http://tong.visitkorea.or.kr/cms/resource/47/2031847_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2031847_image3_1.jpg,Type3,126.9894641053,37.5792862950,6,20220830165410,23,+82-2-3668-2300,Hyangnamu Tree in Changdeokgung Palace (창덕궁 향나무),03072
108,"55, Hyeonchung-ro, Dongjak-gu, Seoul",,1,A02,A0202,A02020700,1930534,76,20140702021708,http://tong.visitkorea.or.kr/cms/resource/00/2531100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2531100_image2_1.jpg,Type3,126.9627629237,37.5106549012,6,20210219183025,12,+82-2-820-9848,Hyosajeong Pavilion (효사정),06904
109,"62, Ichon-ro 72-gil, Yongsan-gu, Seoul",,1,A02,A0202,A02020700,1011895,76,20100429234407,http://tong.visitkorea.or.kr/cms/resource/15/2531015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2531015_image2_1.jpg,Type3,126.9707592150,37.5178208785,6,20240305110147,21,+82-2-3780-0551,Ichon Hangang Park (이촌한강공원),04427
110,"Ikseon-dong, Jongno-gu, Seoul",,1,A02,A0203,A02030400,2943972,76,20221207135824,,,,126.9897920161,37.5735203041,6,20230116134454,23,,Ikseon-dong (익선동),03133
111,"reas of Samil-daero, Supyo-ro, Donhwamun-ro, Jongno-gu, Seoul",,1,A02,A0203,A02030600,3049043,76,20230131223705,http://tong.visitkorea.or.kr/cms/resource/50/2945950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2945950_image3_1.jpg,Type1,0,0,,20231222143914,23,,Ikseon-dong Hanok Street (익선동 한옥거리),
112,"660, Dongnam-ro, Gangdong-gu, Seoul",,1,A01,A0101,A01010600,2357804,76,20151230234257,http://tong.visitkorea.or.kr/cms/resource/88/659488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/659488_image3_1.jpg,Type3,127.1508007360,37.5327334966,6,20210423002906,2,,Iljasan Mountain Natural Park (일자산자연공원),05357
113,"62, Insadong-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030400,264354,76,20110226021013,http://tong.visitkorea.or.kr/cms/resource/26/2612526_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2612526_image3_1.jpg,Type3,126.9833758804,37.5754310780,6,20240517114101,23,+82-2-734-0222,Insa-dong (인사동),03146
114,"19 Insadong 11-gil, Jongno-gu, Seoul",,1,A02,A0204,A02040800,2008624,76,20150608232937,http://tong.visitkorea.or.kr/cms/resource/48/1999248_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1999248_image3_1.jpg,Type3,126.9835675794,37.5736729522,,20170726182045,23,+82-82-737-7890~1,Insa-dong PR Center (인사동홍보관),03145
115,"Insa-dong, Jongno-gu, Seoul Metropolitan City",,1,A02,A0203,A02030600,3075115,76,20231225163524,http://tong.visitkorea.or.kr/cms/resource/53/3074553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3074553_image3_1.jpg,Type1,126.9860229405,37.5726314506,6,20231226163045,23,,Insadong Cultural Street (인사동 문화의 거리),03162
116,,(Sinjeong-dong),1,A02,A0203,A02030400,1729324,76,20121006013856,http://tong.visitkorea.or.kr/cms/resource/64/1984664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1984664_image3_1.jpg,Type3,126.870069438635,37.520720000194,,20191219010332,19,+82-2-2650-2200,International Seon Center (국제선센터),08013
117,"16-1, Tongil-ro 18ga-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010800,1749909,76,20121109202122,http://tong.visitkorea.or.kr/cms/resource/01/1568101_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1568101_image3_1.jpg,Type3,126.9597168346,37.5786358368,6,20200402181857,23,+82-2-737-4434,Inwangsa Temple (인왕사 (서울)),03023
118,"San 2-1, Muak-dong, Jongno-gu, Seoul",,1,A01,A0101,A01010400,1348417,76,20110802204359,http://tong.visitkorea.or.kr/cms/resource/62/1894462_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1894462_image3_1.jpg,Type3,126.9640832471,37.5735670596,6,20240304140739,23,+82-2-2148-2834,Inwangsan Mountain (인왕산),03028
119,"Itaewon-dong, Yongsan-gu, Seoul",,1,A02,A0203,A02030600,1024837,76,20100519031044,http://tong.visitkorea.or.kr/cms/resource/81/1020781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1020781_image3_1.jpg,Type3,126.9944149759,37.5326056972,6,20240305105353,21,+82-2-797-5119,Itaewon Antique Furniture Street (이태원 앤틱 가구 거리),04391
120,"196, Itaewon-ro, Yongsan-gu, Seoul",,1,A02,A0202,A02020200,264358,76,20030109182459,,,,126.9958259074,37.5343944032,6,20230117155831,21,+82-2-797-7319,Itaewon Special Tourist Zone (이태원 관광특구),04405
121,"65, Hangaram-ro, Songpa-gu, Seoul",,1,A02,A0202,A02020700,1000299,76,20100416224918,http://tong.visitkorea.or.kr/cms/resource/79/1567879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1567879_image3_1.jpg,Type3,127.0867403283,37.5176118752,6,20240313094318,18,+82-2-3780-0511,Jamsil Hangang Park (잠실한강공원),05502
122,"221-124, Jamwon-ro, Seocho-gu, Seoul",,1,A02,A0202,A02020700,1013448,76,20100503231155,,,,127.0122664645,37.5207129541,6,20240312140334,15,+82-2-3780-0531,Jamwon Hangang Park (잠원한강공원),06513
123,"176, Jangchungdan-ro, Jung-gu, Seoul",,1,A02,A0203,A02030400,1398666,76,20111011010521,http://tong.visitkorea.or.kr/cms/resource/69/696569_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/696569_image3_1.jpg,Type3,127.0057825956,37.5604832175,6,20190926193230,24,+82-2-2236-9135,Jangchung-dong Jokbal Street (장충동 족발 골목),04606
124,"261, Dongho-ro, Jung-gu, Seoul",,1,A02,A0202,A02020700,1348558,76,20110802230734,http://tong.visitkorea.or.kr/cms/resource/85/1945785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1945785_image3_1.jpg,Type3,127.0041161624,37.5576029665,6,20200318222214,24,,Jangchungdan Park (장충단공원),04620
125,"Gwanak-ro, Gwanak-gu, Seoul",,1,A02,A0201,A02010800,1742381,76,20121029185339,http://tong.visitkorea.or.kr/cms/resource/40/2363140_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2363140_image3_1.jpg,Type3,126.9542210004,37.4487397158,6,20230508144346,5,+82-2-882-3839,Jaunam Hermitage (자운암),08826
126,"6 Tojeong-ro, Mapo-gu, Seoul",,1,A02,A0201,A02010900,264465,76,20040207195713,http://tong.visitkorea.or.kr/cms/resource/80/2530780_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2530780_image2_1.jpg,Type3,126.9117221843,37.5441500963,6,20240312103949,13,+82-2-3142-4434,Jeoldusan Martyrs' Shrine (절두산순교성지),04085
127,"15, Deoksugung-gil, Jung-gu, Seoul",,1,A02,A0205,A02050600,2044982,76,20151203004515,,,,126.9755269079,37.5644099957,6,20220811111518,24,+82-2-120,Jeongdong Observatory (정동전망대),04515
128,"116, Arirang-ro 19-gil, Seongbuk-gu, Seoul",,1,A02,A0201,A02010700,264113,76,20021227004147,http://tong.visitkorea.or.kr/cms/resource/91/2622291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2622291_image3_1.jpg,Type3,127.0063452451,37.6023505830,6,20210209193631,17,+82-2-914-5133,Jeongneung Royal Tomb  [UNESCO World Heritage] (서울 정릉(신덕왕후) [유네스코 세계문화유산]),02813
129,"(Jingwansa Temple), 73, Jingwan-gil, Eunpyeong-gu, Seoul",,1,A02,A0201,A02010800,1158841,76,20110106014544,,,,126.9469052095,37.6380064804,6,20240318095900,22,+82-2-359-8410,Jingwansa Temple (Seoul) [진관사(서울)],03308
130,"73 Jingwan-gil, Eunpyeong-gu, Seoul",,1,A01,A0101,A01010900,3103006,76,20091027012100,,,,126.9465496889,37.6379287052,6,20240220151054,22,,Jingwansaggyegok Valley (진관사 계곡),03308
131,"55 Ujeongguk-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010800,264352,76,20030109182214,http://tong.visitkorea.or.kr/cms/resource/96/1985196_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1985196_image3_1.jpg,Type3,126.9818371759,37.5738701204,6,20240105134754,23,,Jogyesa Temple (조계사),03144
132,"157 Jong-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010700,264351,76,20090929190340,,,,126.9951471543,37.5710345779,6,20240705155521,23,+82-2-765-0195,Jongmyo Shrine [UNESCO World Heritage] (종묘 [유네스코 세계유산]),03135
133,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A02,A0202,A02020200,1963123,76,20141106001616,http://tong.visitkorea.or.kr/cms/resource/32/2597532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2597532_image3_1.jpg,Type3,126.9919526715,37.5826581698,6,20211230194840,23,+82-2-2148-1861,Jongno Cheonggye Special Tourist Zone (종로 청계 관광특구),03072
134,"41-11, Jeongdong-gil, Jung-gu, Seoul",,1,A02,A0201,A02010100,1034818,76,20100531185111,http://tong.visitkorea.or.kr/cms/resource/30/2639030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2639030_image3_1.jpg,Type3,126.9725215638,37.5666207957,6,20240311180834,24,+82-2-752-7525,Jungmyeongjeon Hall (중명전),04518
135,"565, Nonhyeon-ro, Gangnam-gu, Seoul-si",,1,A02,A0202,A02020300,1300249,76,20110602235758,,,,127.0337426883,37.5065205433,,20170721234516,1,+82-2-3445-1239,JW Spa (제이더블유스파),06125
136,"240, Olympic-ro, Songpa-gu, Seoul",,1,A02,A0203,A02030400,1220743,76,20110302194031,http://tong.visitkorea.or.kr/cms/resource/80/2031380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2031380_image3_1.jpg,Type3,127.0981394766,37.5110683960,6,20240313100758,18,+82-1544-5110,KidZania Seoul (키자니아 서울),05554
137,"175, Sejong-daero, Jongno-gu, Seoul",,1,A02,A0205,A02050400,1382671,76,20110909001318,http://tong.visitkorea.or.kr/cms/resource/41/2549141_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2549141_image3_1.jpg,Type3,126.9768376800,37.5721757834,6,20240304135814,23,+82-2-2133-7713,King Sejong Statue (세종대왕 동상),03172
138,"121 Daesagwan-ro, Seongbuk-gu, Seoul",,1,A02,A0204,A02040800,3092112,76,20231218150210,,,,126.9930020876,37.5998589670,,20240201101912,17,,Korea Furniture Museum (한국가구박물관),02822
139,"574, Hwarang-ro, Nowon-gu, Seoul",,1,A02,A0206,A02061400,2410656,76,20160907003833,http://tong.visitkorea.or.kr/cms/resource/43/1985643_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1985643_image3_1.jpg,Type3,127.0998333455,37.6234664798,6,20220830161415,9,+82-2-2197-6125,Korea Military Academy (육군사관학교),01805
140,"394, Apgujeong-dong, Gangnam-gu, Seoul",,1,A02,A0203,A02030600,3107994,76,20230925120359,,,,127.0244152270,37.5253320799,6,20240305180711,1,,KstarROAD 한류스타거리 (KstarROAD Hallyu Star Road),06001
141,"178, Sejong-daero, Jongno-gu, Seoul",,1,A02,A0204,A02040800,2655857,76,20200511193606,http://tong.visitkorea.or.kr/cms/resource/70/1334870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1334870_image3_1.jpg,Type3,126.9778959154,37.5722063543,6,20210708181320,23,+82-1577-5599,KT Square (KT스퀘어),03154
142,"240, Olympic-ro, Songpa-gu, Seoul",,1,A02,A0202,A02020600,264152,76,20030104231833,,,,127.0979006014,37.5113516917,6,20230119100857,18,+82-1661-2000,Lotte World (롯데월드),05554
143,"300, Olympic-ro, Songpa-gu, Seoul",,1,A02,A0205,A02050600,2003918,76,20150519223248,,,,127.1025918048,37.5126349603,6,20230117102244,18,+82-2-3213-5000,Lotte World Tower & Mall (롯데월드타워&롯데월드몰),05551
144,"300, Olympic-ro, Songpa-gu, Seoul",,1,A02,A0205,A02050600,2493015,76,20170522193450,,,,127.1042832896,37.5136209882,6,20221223164634,18,+82-1661-2000,Lotte World Tower SEOUL SKY (롯데월드타워 서울스카이),05551
145,"99, Maeheon-ro, Seocho-gu, Seoul",,1,A01,A0101,A01010400,1349202,76,20110803222138,http://tong.visitkorea.or.kr/cms/resource/66/2668466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2668466_image3_1.jpg,Type3,127.0369572316,37.4730383770,6,20221221091741,15,+82-2-575-3895,Maeheon Citizen's Forest (매헌시민의 숲),06773
146,"467, Maponaru-gil, Mapo-gu, Seoul",,1,A02,A0202,A02020700,1064349,76,20100723231210,http://tong.visitkorea.or.kr/cms/resource/23/2527123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2527123_image2_1.jpg,Type3,126.8999035848,37.5523989260,6,20230807152942,13,,Mangwon Hangang Park (한강시민공원 망원지구 (망원한강공원)),04005
147,"87, Jeungsan-ro, Mapo-gu, Seoul",,1,A02,A0204,A02040800,2593294,76,20190326030953,,,,126.8950451862,37.5703995248,6,20221215103525,13,+82-2-376-8410,Mapo Oil Tank Culture Park (마포 문화비축기지),03914
148,"Mapo-dong, Mapo-gu, Seoul",,1,A02,A0205,A02050100,1256219,76,20110413200734,http://tong.visitkorea.or.kr/cms/resource/61/758561_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/758561_image3_1.jpg,Type3,126.9418446559,37.5364709722,6,20210326202239,13,+82-2-3153-8365,Mapodaegyo Bridge (마포대교 야경),04175
149,"104, Daehak-ro, Jongno-gu, Seoul",,1,A02,A0202,A02020700,264313,76,20030109040133,http://tong.visitkorea.or.kr/cms/resource/47/1554847_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1554847_image3_1.jpg,Type3,127.0027239807,37.5802419773,6,20210714201743,23,+82-2-2148-4158,Marronnier Park (마로니에공원),03087
150,"722, Seolleung-ro, Gangnam-gu, Seoul",Unit 201,1,A02,A0202,A02020300,2009863,76,20150615182717,http://tong.visitkorea.or.kr/cms/resource/26/2009826_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2009826_image2_1.jpg,Type3,127.0408083536,37.5191664236,,20170802024130,1,,Marzia Healing Spa - Cheongdam Branch (마르지아힐링스파 (청담점)),06065
151,"56-33, Gaehwadong-ro 13-gil, Gangseo-gu, Seoul",,1,A02,A0201,A02010700,1887235,76,20140120184037,http://tong.visitkorea.or.kr/cms/resource/90/1986090_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/1986090_image3_1.jpg,Type3,126.8036199031,37.5807272474,6,20191223193924,4,+82-2-2125-0848,Memorial to the Loyal Dead (호국충혼위령비),07504
152,"59 Banpo-daero 37-gil, Seocho-gu, Seoul",,1,A02,A0202,A02020700,2035459,76,20151023202303,,,,127.0037401743,37.4955435016,6,20240320144907,15,+82-2-2155-6860,Montmartre Park (몽마르뜨공원),06579
153,"31, Seonggyungwan-ro, Jongno-gu, Seoul",,1,A02,A0201,A02010700,1407539,76,20111019030148,http://tong.visitkorea.or.kr/cms/resource/91/1568091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1568091_image3_1.jpg,Type3,126.9967410426,37.5855412533,6,20200331231204,23,+82-2-760-1472,Munmyo Confucian Shrine and Seonggyungwan National Academy (서울 문묘와 성균관),03063
154,"(4-6th floor, Maru Art Center), 35-4, Insadong-gil, Jongno-gu, Seoul",,1,A02,A0204,A02040800,2490739,76,20170421233627,,,,126.9848591321,37.5735368801,6,20240318101614,23,+82-2-6002-6456,Museum Kimchikan (뮤지엄 김치간),03149
155,"66, Eulji-ro, Jung-gu, Seoul",,1,A02,A0203,A02030400,264312,76,20110224204307,http://tong.visitkorea.or.kr/cms/resource/85/2932485_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/85/2932485_image3_1.bmp,Type1,126.9850038013,37.5651434137,6,20240517160055,24,+82-2-778-0333,Myeong-dong (명동),04538
156,"66, Eulji-ro, Jung-gu, Seoul",,1,A02,A0203,A02030400,2593943,76,20190329002444,http://tong.visitkorea.or.kr/cms/resource/94/2582594_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2582594_image2_1.bmp,Type3,126.9849815808,37.5651545234,6,20230103153225,24,+82-2-778-0333,Myeong-dong Tourist Information Center (명동관광정보센터),04538
157,"40, Sejong-daero, Jung-gu, Seoul",,1,A02,A0202,A02020200,1963058,76,20141105221154,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image3_1.jpg,Type3,126.9753048316,37.5599771733,6,20211230195746,24,+82-2-3396-4622,"Myeong-dong, Namdaemun, Bukchang-dong, Da-dong and Mugyo-dong Special Tourist Zone (명동 남대문 북창동 다동무교동 관광특구)",04528
158,"74, Myeongdong-gil, Jung-gu, Seoul",,1,A02,A0201,A02010900,264138,76,20030103200938,http://tong.visitkorea.or.kr/cms/resource/03/1987703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1987703_image3_1.jpg,Type3,126.9872814233,37.5633131117,6,20221227094028,24,,Myeongdong Cathedral (서울 명동성당),04537
