addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
"662, Gyeongin-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3324119,79,20240625085419,http://tong.visitkorea.or.kr/cms/resource/80/3314680_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/80/3314680_image3_1.jpeg,Type3,126.8884169673,37.5089148857,6,20240627020414,7,,Fahrenheit [Tax Refund Shop] (파렌하이트),08209
"278, Beotkkot-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323342,79,20240625010637,http://tong.visitkorea.or.kr/cms/resource/51/3313051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3313051_image3_1.jpg,Type3,126.8846459143,37.4795432303,6,20240626210237,8,,Fantom - Lotte Factory Gasan Branch [Tax Refund Shop] (팬텀 롯데팩토리 가산),08511
"185, Digital-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323972,79,20240625083501,http://tong.visitkorea.or.kr/cms/resource/93/3313593_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3313593_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240626211821,8,,Fantom [Tax Refund Shop] (팬텀),08511
"1F, #26, 225, Wangsan-ro, Dongdaemun-gu, Seoul",,1,A04,A0401,A04011000,3324639,79,20240625100035,,,,127.0472254261,37.5821758859,6,20240627021841,11,,Fantom [Tax Refund Shop] (팬텀),02490
"309, Mokdongdong-ro, Yangcheon-gu, Seoul",,1,A04,A0401,A04011000,2955381,79,20230125210508,,,,126.8760230822,37.5291956414,6,20240419152516,19,,Farbe - Happy Department Store Branch [Tax Refund Shop] (파르베행복한백화점점),07997
"86-5, Samcheong-ro, Jongno-gu, Seoul",,1,A05,A0502,A05020900,1989069,82,20150223235338,http://tong.visitkorea.or.kr/cms/resource/78/1901178_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1901178_image3_1.jpg,Type3,126.9821368841,37.5832023745,6,20191220002031,23,+82-2-739-9888,Fatum (파툼),03053
"662, Gyeongin-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3324336,79,20240625092435,http://tong.visitkorea.or.kr/cms/resource/75/3313075_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3313075_image3_1.jpg,Type3,126.8884169673,37.5089148857,6,20240626210445,7,,Fedora [Tax Refund Shop] (페도라),08209
"3F, 20, Jangchungdan-ro 13-gil, Jung-gu, Seoul",3F,1,A04,A0401,A04011000,2958461,79,20230128104753,http://tong.visitkorea.or.kr/cms/resource/43/2889343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2889343_image3_1.jpg,Type3,127.0076821872,37.5687878415,6,20240418105423,24,,Felice Zosuni - Hyundai Dongdaemun Branch [Tax Refund Shop] (펠리체조수니 현대동대문),04563
"165, Apgujeong-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2955745,79,20230406111349,http://tong.visitkorea.or.kr/cms/resource/38/2890538_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2890538_image3_1.jpg,Type3,127.0274843337,37.5274180039,6,20240423131445,1,,Fendi - Hyundai Apgujeong Main Branch [Tax Refund Shop] (펜디 현대 본점),06001
"257, Mokdongdong-ro, Yangcheon-gu, Seoul",,1,A04,A0401,A04011000,2955695,79,20230129170211,,,,126.8747288364,37.5263292843,6,20240418154633,19,,Fendi - Hyundai Mokdong Branch [Tax Refund Shop] (펜디 현대 목동),07998
"300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2955680,79,20230125213255,http://tong.visitkorea.or.kr/cms/resource/13/2879313_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2879313_image3_1.jpg,Type3,127.1040749597,37.5141653654,6,20240418160909,18,,Fendi - Lotte Avenuel World Tower Branch [Tax Refund Shop] (펜디 롯데 에비뉴엘월드타워점),05551
"81, Namdaemun-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2955728,79,20230406111055,,,,126.9810458210,37.5654016461,6,20240418160435,24,,Fendi - Lotte Main Branch [Tax Refund Shop] (펜디 롯데 본점),04533
"176, Sinbanpo-ro, Seocho-gu, Seoul",,1,A04,A0401,A04011000,2955736,79,20230406111221,http://tong.visitkorea.or.kr/cms/resource/36/2890536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2890536_image3_1.jpg,Type3,127.0035815712,37.5056062193,6,20240418155352,15,,Fendi - Shinsegae Gangnam Branch [Tax Refund Shop] (펜디 신세계 강남점),06546
"6F Shinsegae Department Store Main Branch, 63, Sogong-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2955837,79,20230119152949,http://tong.visitkorea.or.kr/cms/resource/74/2890574_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2890574_image3_1.jpg,Type3,126.9810181709,37.5609966018,6,20240423105543,24,,Fendi - Shinsegae Main Branch (1F) [Tax Refund Shop] (펜디 신세계 본점1층),04530
"63, Sogong-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2955870,79,20230119154033,http://tong.visitkorea.or.kr/cms/resource/85/2890585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2890585_image3_1.jpg,Type3,126.9810181709,37.5609966018,6,20240419151933,24,,Fendi - Shinsegae Main Branch (2F) [Tax Refund Shop] (펜디 신세계 본점2층),04530
"6F, 176, Sinbanpo-ro, Seocho-gu, Seoul",,1,A04,A0401,A04011000,2955753,79,20230406111517,,,,127.0035815712,37.5056062193,6,20240418154841,15,,Fendi Men - Shinsegae Gangnam Branch [Tax Refund Shop] (펜디남성 신세계 강남점),06546
"433, Apgujeong-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2954007,79,20230120223635,http://tong.visitkorea.or.kr/cms/resource/03/2889803_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2889803_image3_1.jpg,Type3,127.0446577773,37.5271461220,6,20240423104635,1,,Ferragamo - Cheongdam Store Branch [Tax Refund Shop] (페레가모 청담스토어),06010
"257, Mokdongdong-ro, Yangcheon-gu, Seoul",,1,A04,A0401,A04011000,2957397,79,20230129151612,,,,126.8747288364,37.5263292843,6,20240419152013,19,,Ferragamo - Hyundai Mokdong Branch [Tax Refund Shop] (페레가모 현대 목동점),07998
"1F, 83, Sinchon-ro, Seodaemun-gu, Seoul",,1,A04,A0401,A04011000,2957411,79,20230129151702,http://tong.visitkorea.or.kr/cms/resource/51/2889851_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2889851_image3_1.jpg,Type3,126.9358252045,37.5561435782,6,20240418141245,14,,Ferragamo - Hyundai Sinchon Branch [Tax Refund Shop] (페레가모 현대 신촌점),03789
"1F, 30, Eulji-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2954173,79,20230202221838,http://tong.visitkorea.or.kr/cms/resource/83/2889783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2889783_image3_1.jpg,Type3,126.9810458210,37.5654016461,6,20240418142514,24,,Ferragamo - Lotte Main Branch [Tax Refund Shop] (페레가모 롯데 본점),04533
"15, Yeongjung-ro, Yeongdeungpo-gu, Seoul",,1,A04,A0401,A04011000,2955651,79,20230118223326,,,,126.9053818370,37.5178335971,6,20240418150804,20,,Ferragamo - Shinsegae Times Square Branch [Tax Refund Shop] (페레가모 신세계 영등포점),07305
"176, Sinbanpo-ro, Seocho-gu, Seoul",,1,A04,A0401,A04011000,2954295,79,20230202225104,http://tong.visitkorea.or.kr/cms/resource/09/2889809_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2889809_image3_1.jpg,Type3,127.0035815712,37.5056062193,6,20240418144721,15,,Ferragamo Men - Shinsegae Gangnam Branch [Tax Refund Shop] (페레가모남성 신세계 강남점),06546
"63, Sogong-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2954089,79,20230202215728,http://tong.visitkorea.or.kr/cms/resource/55/2889755_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2889755_image3_1.jpg,Type3,126.9810181709,37.5609966018,6,20240418132318,24,,Ferragamo Women - Shinsegae Main Branch [Tax Refund Shop] (페레가모여성 신세계 본점),04530
"169, Itaewon-ro, Yongsan-gu, Seoul",,1,A04,A0401,A04011000,2960010,79,20230131174526,http://tong.visitkorea.or.kr/cms/resource/55/2878455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2878455_image3_1.jpg,Type3,126.9927150714,37.5347137541,6,20240418081225,21,,Ferrara Korea - Itaewon Branch [Tax Refund Shop] (페라라코리아 이태원),04350
"1F, 169, Itaewon-ro, Yongsan-gu, Seoul",1층 페라라코리아,1,A04,A0401,A04011000,3324745,79,20240625100928,,,,126.9927150714,37.5347137541,6,20240627021242,21,,Ferrara Korea [Tax Refund Shop] (페라라코리아),04350
"209, Bongcheon-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3324091,79,20240625085148,http://tong.visitkorea.or.kr/cms/resource/56/3314556_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/56/3314556_image3_1.jpeg,Type3,126.9249974851,37.4905482278,6,20240627024949,5,,Ferraro Milano [Tax Refund Shop] (페라로밀라노),08708
"662, Gyeongin-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3324149,79,20240625085717,http://tong.visitkorea.or.kr/cms/resource/98/3314698_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/98/3314698_image3_1.jpeg,Type3,126.8884169673,37.5089148857,6,20240701093318,7,,Ferraro Milano [Tax Refund Shop] (페라로밀라노),08209
"2F, 1955, Goyang-daero, Deogyang-gu, Goyang-si, Gyeonggi-do",2F of AK Plaza,1,A04,A0401,A04011000,2959903,79,20230202161706,http://tong.visitkorea.or.kr/cms/resource/69/2891069_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2891069_image3_1.jpg,Type3,126.9265121176,37.5577987750,6,20240423131458,13,,Fflow [Tax Refund Shop] (FFLOW),04051
"1F, 78, Changdeokgung-gil, Jongno-gu, Seoul",,1,A04,A0401,A04011000,2960349,79,20230206131926,http://tong.visitkorea.or.kr/cms/resource/11/2888611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2888611_image3_1.jpg,Type3,126.9894140600,37.5810416455,6,20240418090951,23,,Fibreno - Jongno Branch [Tax Refund Shop] (피브레노 종로),03057
"3, Seolleung-ro 158-gil, Gangnam-gu, Seoul",,1,A02,A0206,A02060100,1993531,78,20150331200707,http://tong.visitkorea.or.kr/cms/resource/32/2360232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2360232_image2_1.jpg,Type3,127.0403887600,37.5257962019,6,20240318133738,1,+82-2-512-8865,Figure Museum W (피규어뮤지엄W),06014
"7F, 20, Jangchungdan-ro 13-gil, Jung-gu, Seoul",,1,A04,A0401,A04011000,2971589,79,20230128095130,http://tong.visitkorea.or.kr/cms/resource/91/2889091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2889091_image3_1.jpg,Type3,127.0076821872,37.5687878415,6,20240423131512,24,,Fila - Hyundai Dongdaemun Branch [Tax Refund Shop] (휠라 현대동대문),04563
"3F, 66, Chungmin-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2954901,79,20230125221658,,,,127.1249768726,37.4776672007,6,20240417100033,18,,Fila - Hyundai Garden5 Branch [Tax Refund Shop] (휠라 현대가든파이브),05838
"20, Bulgwang-ro, Eunpyeong-gu, Seoul",,1,A04,A0401,A04011000,2956396,79,20230117191655,http://tong.visitkorea.or.kr/cms/resource/55/2878255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2878255_image3_1.jpg,Type3,126.9289354269,37.6097677758,6,20240419085424,22,,Fila - NC Bulgwang Branch [Tax Refund Shop] (휠라 NC불광점),03397
"8F, 20, Jangchungdan-ro 13-gil, Jung-gu, Seoul",,1,A04,A0401,A04011000,2958484,79,20230128105032,http://tong.visitkorea.or.kr/cms/resource/75/2889375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2889375_image3_1.jpg,Type3,127.0076821872,37.5687878415,6,20240422082933,24,,Fila Kids - Hyundai Dongdaemun Branch [Tax Refund Shop] (휠라키즈 현대동대문),04563
"152, Gurojungang-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3323256,79,20240625004504,http://tong.visitkorea.or.kr/cms/resource/59/3314859_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3314859_image3_1.jpg,Type3,126.8827871414,37.5012129024,6,20240701100508,7,,Fila Kids - NC Singuro Branch [Tax Refund Shop] (휠라키즈 nc신구로),08292
"185, Digital-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323695,79,20240625080332,http://tong.visitkorea.or.kr/cms/resource/81/3313181_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3313181_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240627021259,8,,Fila Kids [Tax Refund Shop] (휠라키즈),08511
"209, Bongcheon-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3324204,79,20240625090416,http://tong.visitkorea.or.kr/cms/resource/84/3314584_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/84/3314584_image3_1.jpeg,Type3,126.9249974851,37.4905482278,6,20240627020120,5,,Fila Kids [Tax Refund Shop] (휠라키즈),08708
"662, Gyeongin-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3324443,79,20240625094034,http://tong.visitkorea.or.kr/cms/resource/83/3313083_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/83/3313083_image3_1.jpeg,Type3,126.8884169673,37.5089148857,6,20240626210502,7,,Fila Kids [Tax Refund Shop] (휠라키즈),08209
"275, Jangchungdan-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,3323703,79,20240625080428,http://tong.visitkorea.or.kr/cms/resource/35/3314335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3314335_image3_1.jpg,Type3,127.0088293006,37.5689100708,6,20240627024403,24,,Fila [Tax Refund Shop] (휠라),04563
"405, Hangang-daero, Yongsan-gu, Seoul",,1,A04,A0401,A04011000,3324266,79,20240625091411,http://tong.visitkorea.or.kr/cms/resource/90/3314590_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3314590_image3_1.jpg,Type3,126.9717469660,37.5548915897,6,20240627020128,21,,Fila [Tax Refund Shop] (휠라),04320
"315, Dongsomun-ro, Seongbuk-gu, Seoul",,1,A04,A0401,A04011000,3324418,79,20240625093628,http://tong.visitkorea.or.kr/cms/resource/10/3313110_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3313110_image3_1.jpg,Type3,127.0287930253,37.6084530555,6,20240627021013,17,,Fila [Tax Refund Shop] (휠라),02730
"17, Eonju-ro 152-gil, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2953674,79,20230112120435,http://tong.visitkorea.or.kr/cms/resource/91/2879591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2879591_image3_1.jpg,Type3,127.0350171049,37.5230325375,6,20240418134310,1,,Fillmore Bonpoint [Tax Refund Shop] (필모어 봉쁘앙),06021
"66-17, Yulgok-ro 3-gil, Jongno-gu, Seoul",,1,A02,A0206,A02060500,1942359,78,20140820022511,http://tong.visitkorea.or.kr/cms/resource/94/1895694_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1895694_image3_1.jpg,Type3,126.9827480622,37.5788751102,6,20190319020503,23,+82-2-738-0738,Fine Art Gallery Art Link (갤러리 아트링크),03061
"104, Dosan-daero, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,3326034,79,20240625132750,http://tong.visitkorea.or.kr/cms/resource/96/3313696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3313696_image3_1.jpg,Type3,127.0203547463,37.5161302976,6,20240627022648,1,,Fitting Clinic [Tax Refund Shop] (피팅의원),06038
"23, Seolleung-ro 153-gil, Gangnam-gu, Seoul",Fitzroy,1,A04,A0401,A04011000,2957386,79,20230130113749,http://tong.visitkorea.or.kr/cms/resource/96/2890696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2890696_image3_1.jpg,Type3,127.0375307183,37.5246796140,6,20240419091801,1,,Fitzroy [Tax Refund Shop] (핏츠로이),06019
"46, Dongil-ro 204ga-gil, Nowon-gu, Seoul",,1,A04,A0401,A04011000,3325067,79,20240625104501,http://tong.visitkorea.or.kr/cms/resource/92/3314592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3314592_image3_1.jpg,Type3,127.0679274101,37.6413416033,6,20240627024927,9,,Flamingo - 2001 Outlet Junggye Branch [Tax Refund Shop]  (후라밍고 2001아울렛 중계),01783
"300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2958532,79,20230202180634,http://tong.visitkorea.or.kr/cms/resource/20/2879020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2879020_image3_1.jpg,Type3,127.1040305171,37.5142459111,6,20240418141131,18,,Flying Tiger - Lotte World Mall Branch [Tax Refund Shop] (플라잉타이거 롯데월드몰),05551
"62, Dobong-ro, Gangbuk-gu, Seoul",,1,A04,A0401,A04011000,3324556,79,20240625095313,http://tong.visitkorea.or.kr/cms/resource/84/3314084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3314084_image3_1.jpg,Type3,127.0305315802,37.6146468109,6,20240627014838,3,,Focus [Tax Refund Shop] (포커스),01215
"185, Digital-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323953,79,20240625083235,http://tong.visitkorea.or.kr/cms/resource/85/3314585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3314585_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240628161915,8,,Folder [Tax Refund Shop] (폴더),08511
"185, Digital-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323670,79,20240625075951,http://tong.visitkorea.or.kr/cms/resource/39/3313539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3313539_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240627022216,8,,Foot Market [Tax Refund Shop] (풋마켓),08511
"278, Beotkkot-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323391,79,20240625012312,http://tong.visitkorea.or.kr/cms/resource/09/3313909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3313909_image3_1.jpg,Type3,126.8846459143,37.4795432303,6,20240627023233,8,,Foot Mart - Lotte Factory Gasan Branch [Tax Refund Shop] (풋마트 롯데팩토리 가산),08511
"240, World Cup-ro, Mapo-gu, Seoul",,1,A02,A0206,A02060100,2521995,78,20171214001418,http://tong.visitkorea.or.kr/cms/resource/50/2488350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2488350_image2_1.jpg,Type3,126.8990115045,37.5699440931,6,20220913150920,13,+82-2-305-2002,Football Faentasium (풋볼 팬타지움),03932
"1F, 2F (Sinsa-dong), 807, Eonju-ro, Gangnam-gu, Seoul","1F, 2F (Sinsa-dong)",1,A04,A0401,A04011000,2958951,79,20230131102823,http://tong.visitkorea.or.kr/cms/resource/85/2887785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2887785_image3_1.jpg,Type3,127.0331117381,37.5224964546,6,20240416162840,1,,FootJoy - Dosan Branch [Tax Refund Shop] (풋조이 도산점),06026
"17, Wangsimnigwangjang-ro, Seongdong-gu, Seoul",,1,A05,A0502,A05020200,2696155,82,20201210203524,http://tong.visitkorea.or.kr/cms/resource/43/2685043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2685043_image2_1.jpg,Type3,127.0384962540,37.5614614692,6,20210330012047,16,+82-2-2200-1357,Forcitta (포르시따),04750
"209, Bongcheon-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3324189,79,20240625090155,http://tong.visitkorea.or.kr/cms/resource/33/3314333_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/33/3314333_image3_1.jpeg,Type3,126.9249974851,37.4905482278,6,20240627024400,5,,Fossil [Tax Refund Shop] (파슬),08708
"36 , Samil-daero 10-gil, Jung-gu, Seoul",,1,B02,B0201,B02010100,2823145,80,20220609093631,http://tong.visitkorea.or.kr/cms/resource/03/2819003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2819003_image2_1.jpg,Type3,126.9894367169,37.5656295479,6,20220609093640,24,,Four Points by Sheraton Josun Seoul Myeong-dong (포포인츠 바이 쉐라톤 조선 서울 명동),04551
"366 , Hangang-daero, Yongsan-gu, Seoul",,1,B02,B0201,B02010100,2823144,80,20220609092725,http://tong.visitkorea.or.kr/cms/resource/71/2022471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2022471_image2_1.jpg,Type3,126.9724497903,37.5509920550,6,20220609092733,21,+82-2-6070-7000,Four Points by Sheraton Josun Seoul Station (포포인츠 바이 쉐라톤 조선 서울역),04323
"97 Saemunan-ro, Jongno-gu, Seoul",,1,A05,A0502,A05020900,3109636,82,20231109142605,http://tong.visitkorea.or.kr/cms/resource/84/3035284_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3035284_image3_1.jpg,Type1,126.9754128499,37.5707509234,6,20240315164743,23,,Four Seasons Charles H. (포시즌스호텔서울 찰스.H),03183
"5F, 517, Teheran-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2955955,79,20230125223410,,,,127.0597791462,37.5086679839,6,20240423094730,1,,Fourm Studio - Hyundai Department Store Trade Center Branch [Tax Refund Shop] (폼스튜디오현대무역점),06164
"4F, 66, Chungmin-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2955444,79,20230125231238,,,,127.1249768726,37.4776672007,6,20240423104428,18,,Franco Ferraro - Hyundai Garden5 Branch [Tax Refund Shop] (프랑코페라로 현대가든파이브),05838
"9, Digital-ro 10-gil, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,2954647,79,20230125215604,http://tong.visitkorea.or.kr/cms/resource/90/2888990_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2888990_image3_1.jpg,Type3,126.8890705637,37.4776713039,6,20240423081416,8,,Franco Ferraro - Hyundai Gasan Branch [Tax Refund Shop] (프랑코페라로 현대가산),08514
"278, Beotkkot-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3323447,79,20240625014452,http://tong.visitkorea.or.kr/cms/resource/90/3312790_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3312790_image3_1.jpg,Type3,126.8846459143,37.4795432303,6,20240628085603,8,,Franco Ferraro [Tax Refund Shop] (프랑코페라로),08511
"152, Gurojungang-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3326199,79,20240625133817,http://tong.visitkorea.or.kr/cms/resource/73/3313173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3313173_image3_1.jpg,Type3,126.8827871414,37.5012129024,6,20240626210807,7,,Frat - NC Singuro Branch [Tax Refund Shop] (프랫 nc신구로),08292
"188, Yanghwa-ro, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2959911,79,20230202161802,http://tong.visitkorea.or.kr/cms/resource/74/2891074_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2891074_image3_1.jpg,Type3,126.9265121176,37.5577987750,6,20240423112647,13,,Frat Hauteeye [Tax Refund Shop] (FRAT Hauteeye),04051
"2F Galleria EAST, 407, Apgujeong-ro, Gangnam-gu, Seoul",1F of Galleria EAST,1,A04,A0401,A04011000,2955618,79,20230406105134,http://tong.visitkorea.or.kr/cms/resource/68/2890468_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2890468_image3_1.jpg,Type3,127.0418357887,37.5279681978,6,20240418162218,1,,Fred - Galleria Branch [Tax Refund Shop] (프레드 갤러리아),06009
"343, Apgujeong-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2953647,79,20230201215047,http://tong.visitkorea.or.kr/cms/resource/56/2888256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2888256_image3_1.jpg,Type3,127.0400692668,37.5285292127,6,20240417144911,1,,Fred - Galleria Luxury Hall Branch [Tax Refund Shop] (FRED 갤러리아명품관),06008
"2F, 165, Apgujeong-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2953680,79,20230201220746,,,,127.0274843337,37.5274180039,6,20240417150701,1,,Fred - Hyundai Apgujeong Main Branch [Tax Refund Shop] (FRED 현대본점),06001
"176, Sinbanpo-ro, Seocho-gu, Seoul",,1,A04,A0401,A04011000,2956310,79,20230125234936,http://tong.visitkorea.or.kr/cms/resource/94/2879994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2879994_image3_1.jpg,Type3,127.0035815712,37.5056062193,6,20240418135533,15,,Fred - Shinsegae Gangnam Branch [Tax Refund Shop] (FRED 신세계강남),06546
"513, Yeongdong-daero, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2959305,79,20230204110806,,,,127.0592179950,37.5119175967,6,20240419101818,1,,Fred Perry - Coex Branch [Tax Refund Shop] (프레드페리코엑스점),06164
"Store #216-4, 15, Yeongjung-ro, Yeongdeungpo-gu, Seoul",Store# 216-4,1,A04,A0401,A04011000,2955587,79,20230118220942,,,,126.9053818370,37.5178335971,6,20240418132224,20,,Fred Perry - TIMES SQUARE Branch [Tax Refund Shop] (프레드페리 타임스퀘어),07305
"124, Singomae-ro, Giheung-gu, Yongin-si, Gyeonggi-do",A section of 1F,1,A04,A0401,A04011000,2954932,79,20230117220213,http://tong.visitkorea.or.kr/cms/resource/61/2879561_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2879561_image3_1.jpg,Type3,127.0385278473,37.5247685104,6,20240422132637,1,,Freitag - Apgujeong Branch [Tax Refund Shop] (프라이탁 압구정 [사후면세점]),06019
"209, Bongcheon-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3324212,79,20240625090529,http://tong.visitkorea.or.kr/cms/resource/42/3312842_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/42/3312842_image3_1.jpeg,Type3,126.9249974851,37.4905482278,6,20240628085941,5,,French Cat [Tax Refund Shop] (프렌치캣),08708
"9, Yeongjung-ro, Yeongdeungpo-gu, Seoul",,1,A04,A0401,A04011000,3324560,79,20240625095335,http://tong.visitkorea.or.kr/cms/resource/92/3314792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3314792_image3_1.jpg,Type3,126.9055901684,37.5172308925,6,20240627020743,20,,French Cat [Tax Refund Shop] (프렌치캣),07305
"9, Yeongjung-ro, Yeongdeungpo-gu, Seoul",,1,A04,A0401,A04011000,3324183,79,20240625090110,http://tong.visitkorea.or.kr/cms/resource/24/3313924_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3313924_image3_1.jpg,Type3,126.9055901684,37.5172308925,6,20240627014433,20,,Fresh [Tax Refund Shop] (프레쉬),07305
"1F, 8, Cheonggyecheon-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,2959898,79,20230128145628,http://tong.visitkorea.or.kr/cms/resource/73/2878573_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2878573_image3_1.jpg,Type3,126.9782376450,37.5688789695,6,20240416161623,24,,Frisbee - Gwanghwamun Branch [Tax Refund Shop] (FR광화문점(금강 프리스비)),04520
